Swing/Take,Outs,runners_code,count_code,PlateLocHeight,PlateLocSide,ERV_delta
Swing,0,0,4,1.82414,-0.37532,-0.0006141007563030907
Swing,0,0,1,2.14884,-0.53078,4.800490696603606e-05
Swing,1,0,5,2.64923,1.11914,0.0
Swing,2,0,2,3.42946,0.72137,-0.001150551464057849
Swing,2,0,3,3.24705,0.17989,0.0
Swing,2,0,3,3.89825,-0.51918,-0.004799676767780519
Swing,0,0,5,2.25553,-0.13664,-0.0010997696381578118
Swing,0,0,7,2.27413,-0.61914,-0.0015581637795894446
Swing,0,0,3,1.64594,-0.57949,0.0
Swing,0,0,3,2.92769,-1.01341,-0.004799676767780519
Swing,1,0,7,2.27951,-0.53514,-0.006357840547369964
Swing,2,0,5,2.44513,-0.41486,-0.0010997696381578118
Swing,2,0,2,0.19062,-1.34496,-0.001150551464057849
Swing,2,0,3,2.63566,-1.25458,0.009129425593108057
Swing,2,1,2,3.34028,0.80738,-0.003650642863614391
Swing,2,1,0,1.29581,-1.12688,-0.022992633420684423
Swing,0,0,5,2.64845,-0.90309,0.030758561140505583
Swing,0,2,5,3.01656,-0.04073,0.044651350837138504
Swing,0,2,2,3.12004,-0.41003,-0.019816087258863746
Swing,0,2,3,0.09946,0.98406,-0.07042655109489052
Swing,1,2,5,3.04723,0.34605,0.983170541220383
Swing,1,1,2,3.13503,-0.99173,-0.003650642863614391
Swing,1,1,0,2.97733,-1.16792,-0.009063531059795848
Swing,2,1,4,3.85468,-0.30093,-0.0038155763851401153
Swing,0,0,4,2.86163,-0.02405,-0.0005660958493370546
Swing,1,0,2,1.89472,-1.02647,0.0010997696381578118
Swing,2,0,6,2.58721,0.5112,0.027423852300018474
Swing,2,2,7,2.81383,-0.71731,0.02713610991841993
Swing,2,0,2,3.40928,0.75382,-0.007204169221336603
Swing,0,0,2,1.65339,0.2144,0.0010997696381578118
Swing,1,0,2,2.56429,-0.33361,0.015028871999046388
Swing,1,1,4,2.96338,1.01736,0.978679034251742
Swing,1,3,5,2.88805,-0.23117,0.0
Swing,2,3,6,2.42315,0.69707,-0.06666666666666667
Swing,0,0,4,2.68363,-0.21719,-0.0005660958493370546
Swing,1,0,9,3.52313,-0.08884,0.0030843553837095316
Swing,1,0,3,3.19111,-0.77014,-0.004799676767780519
Swing,2,0,2,2.98257,0.11457,-0.001150551464057849
Swing,2,0,1,3.58103,0.22051,0.0
Swing,2,0,1,2.2871,-0.18943,-0.008255933952528379
Swing,0,0,6,1.13675,-0.58196,-0.0027686129911500563
Swing,0,0,8,1.76859,0.5486,-0.007388489543800994
Swing,1,0,5,1.4292,-0.07069,-0.0010997696381578118
Swing,1,0,4,0.22031,-1.17421,-0.0006141007563030907
Swing,1,0,1,0.33647,-1.11324,4.800490696603606e-05
Swing,2,0,9,1.77889,-0.14625,0.010655617197228144
Swing,2,1,5,2.72216,-0.06487,-0.02223304122038299
Swing,0,0,7,2.66362,0.80784,-0.0015581637795894446
Swing,1,0,4,2.38257,-0.41263,-0.0006141007563030907
Swing,1,0,2,3.13846,-0.25234,-0.001150551464057849
Swing,1,0,0,2.99373,-0.39327,0.0
Swing,1,0,0,3.05213,0.11298,0.016179423463104237
Swing,1,1,6,2.49635,-0.26574,-0.017491939681068498
Swing,2,3,8,3.17372,0.5499,0.0
Swing,2,3,8,2.47261,1.21146,0.0
Swing,2,3,8,2.59454,0.15146,-0.1431578947368421
Swing,0,0,5,2.52358,-0.51338,0.013929102360888576
Swing,2,1,9,2.65843,-0.12169,0.01451122407835187
Swing,2,1,7,2.09019,0.38493,0.00022020246145342676
Swing,2,1,3,1.54763,-0.1653,0.0
Swing,0,0,9,2.07573,0.22884,-0.003273485163660432
Swing,1,0,5,2.02891,-0.1611,0.0
Swing,2,0,4,2.64246,0.37052,-0.0006141007563030907
Swing,2,0,1,2.2976,0.19719,0.0
Swing,2,0,1,2.68341,0.63116,-0.008255933952528379
Swing,0,0,2,1.92202,-0.16618,0.0010997696381578118
Swing,1,0,5,2.07798,0.10715,-0.0010997696381578118
Swing,1,0,2,2.9179,0.31034,0.0010997696381578118
Swing,2,0,5,2.56405,0.77803,-0.0010997696381578118
Swing,2,1,1,0.96232,0.01592,0.0
Swing,2,1,3,2.03361,-1.01668,0.0
Swing,2,1,3,3.53492,0.06647,0.0
Swing,0,0,5,3.79323,1.00623,-0.0010997696381578118
Swing,0,0,2,2.68114,-0.12029,0.0010997696381578118
Swing,1,0,2,3.23897,-0.12561,-0.001150551464057849
Swing,2,0,5,3.27964,-0.48107,-0.0010997696381578118
Swing,2,0,4,2.40519,-1.23602,-0.00887003470883147
Swing,0,0,2,2.43124,-0.25947,-0.001150551464057849
Swing,0,0,0,1.11577,0.04409,0.0
Swing,0,0,0,2.00494,0.30888,0.0
Swing,0,0,0,2.22584,0.06877,0.002250321102215661
Swing,1,0,2,1.97965,-0.24929,0.0010997696381578118
Swing,2,0,6,2.57807,-0.00819,0.010594393520401466
Swing,2,1,10,3.90947,0.30466,-0.05845181674565561
Swing,0,0,9,2.61557,-0.52065,0.0030843553837095316
Swing,0,0,7,2.33742,0.89702,0.9936421594526299
Swing,0,0,2,1.96874,0.75941,-0.001150551464057849
Swing,0,0,0,2.1835,-0.39369,0.0
Swing,0,0,8,1.93452,-0.10654,-0.007388489543800994
Swing,1,0,9,2.74199,0.75386,0.9967265148363395
Swing,1,0,5,2.86567,0.65205,0.0
Swing,2,0,6,1.55525,-0.05807,-0.0027686129911500563
Swing,2,0,8,3.33487,0.84593,0.0
Swing,2,0,8,2.37711,0.22223,0.0
Swing,2,0,8,3.03933,-0.26355,-0.01569242840329541
Swing,0,0,4,2.58317,0.66842,-0.0005660958493370546
Swing,1,0,5,1.96258,0.16049,0.0
Swing,2,0,0,2.40745,0.77156,0.0
Swing,2,0,0,1.97821,-0.58434,-0.006053617757278754
Swing,1,1,1,1.6768,0.22632,-0.01750538936311801
Swing,2,1,2,1.41424,1.50742,-0.003650642863614391
Swing,2,1,1,1.31793,1.22058,-0.031434491724006586
Swing,0,0,5,2.01204,1.23657,0.0
Swing,1,0,5,1.89507,-0.48314,0.0
Swing,2,0,4,2.43627,0.52682,0.013363006511551522
Swing,2,1,5,3.35377,0.95071,1.016829458779617
Swing,2,0,6,2.28242,0.10231,-0.0027686129911500563
Swing,2,0,7,3.14362,-0.45117,-0.0015581637795894446
Swing,2,0,3,2.36951,-0.62239,-0.013103615627274934
Swing,0,0,5,2.14039,1.80448,-0.0010997696381578118
Swing,0,0,0,2.02115,0.10274,0.0
Swing,0,0,0,2.82913,0.71788,0.016179423463104237
Swing,0,1,4,1.5023,0.44606,-0.021320965748258126
Swing,1,1,7,2.96235,0.08264,0.00022020246145342676
Swing,1,1,3,3.31783,-0.37191,0.0
Swing,1,1,8,3.16469,0.63702,-0.036325517338175566
Swing,2,1,6,2.36475,-0.35208,0.003829026067189628
Swing,2,1,4,3.48979,0.53149,-0.04355400696864112
Swing,0,1,2,1.97783,-0.65761,-0.003650642863614391
Swing,0,1,1,3.1425,-0.92042,-0.01750538936311801
Swing,1,1,10,1.91213,0.20762,-0.03621877552527262
Swing,2,1,5,2.9339,0.33913,0.01271417392341024
Swing,0,0,5,3.36897,-0.22985,-0.0010997696381578118
Swing,0,0,7,3.22581,0.59716,-0.0015581637795894446
Swing,0,0,3,3.45677,-0.38377,-0.004799676767780519
Swing,1,0,2,2.61641,-0.75773,0.0010997696381578118
Swing,2,0,7,,,-0.014661779406864379
Swing,0,0,5,2.85376,-0.20428,0.0
Swing,1,0,6,2.03276,0.18703,-0.0027686129911500563
Swing,1,1,6,1.89981,-0.57833,0.003829026067189628
Swing,1,1,7,0.74338,-0.94179,0.00022020246145342676
Swing,1,3,6,3.06564,-0.28174,0.029878048780487804
Swing,1,3,7,2.158,-0.62104,-0.0017469238948807642
Swing,1,3,3,1.85504,-0.65563,0.0
Swing,0,0,9,2.89526,-0.55661,0.0030843553837095316
Swing,0,0,7,2.92089,-0.63386,-0.0015581637795894446
Swing,0,0,3,2.20433,-0.5041,-0.004799676767780519
Swing,2,0,5,3.03966,0.71603,-0.0010997696381578118
Swing,2,0,2,1.83338,0.17942,-0.001150551464057849
Swing,2,0,3,3.82896,0.48547,-0.004799676767780519
Swing,0,0,4,2.17141,1.10522,-0.0006141007563030907
Swing,0,0,3,2.05172,1.27842,0.0
Swing,0,0,3,3.38681,0.39887,0.0
Swing,0,0,3,2.76367,0.01243,0.025958884372725068
Swing,0,2,9,2.43969,-0.44698,1.034947334695022
Swing,0,4,5,2.66258,-0.61092,-0.07891638406697332
Swing,1,1,6,1.92237,-1.47334,0.9685789579580428
Swing,2,0,3,2.49931,0.27535,0.0
Swing,2,0,8,2.90507,0.92878,0.0
Swing,2,0,8,2.56194,-0.15312,-0.007388489543800994
Swing,0,0,5,2.36844,-0.14962,-0.0010997696381578118
Swing,0,0,2,1.62424,0.88398,0.0010997696381578118
Swing,1,0,8,2.79344,-0.84136,-0.007388489543800994
Swing,2,0,5,3.02897,0.68642,-0.0010997696381578118
Swing,2,0,2,0.70928,0.81358,-0.001150551464057849
Swing,2,0,1,1.50358,1.45563,0.013977107267854613
Swing,2,1,6,1.75613,-0.14826,0.003829026067189628
Swing,2,1,3,2.19354,0.75602,-0.042106377670400076
Swing,0,0,5,2.43907,0.1905,0.0
Swing,1,0,6,2.87104,-0.62007,-0.0027686129911500563
Swing,1,0,7,3.96021,-0.32918,-0.0015581637795894446
Swing,2,0,2,2.62953,-0.47447,-0.001150551464057849
Swing,0,0,5,2.64966,-0.45161,0.013929102360888576
Swing,0,1,2,1.51239,-0.02776,-0.01271417392341024
Swing,1,1,5,1.8778,1.50616,0.01271417392341024
Swing,1,1,2,1.49791,1.01932,-0.003650642863614391
Swing,1,1,0,2.24621,1.62979,-0.009063531059795848
Swing,2,1,9,2.07133,0.79669,-0.035678889990089196
Swing,0,0,6,2.45931,-0.33282,-0.0027686129911500563
Swing,0,0,4,3.56234,-0.06025,-0.0006141007563030907
Swing,1,0,5,3.08241,0.29761,-0.0010997696381578118
Swing,1,0,9,2.53061,-0.52495,-0.003273485163660432
Swing,2,0,2,2.46767,-1.28983,0.015028871999046388
Swing,2,1,2,3.25577,-1.05589,-0.003650642863614391
Swing,2,1,1,1.05344,-1.02697,-0.039738430583501
Swing,0,0,9,2.63783,0.23348,0.0030843553837095316
Swing,0,0,7,3.45712,-0.28772,-0.0015581637795894446
Swing,0,0,3,2.02945,-1.12627,-0.004799676767780519
Swing,1,0,5,3.18193,-0.43729,-0.0010997696381578118
Swing,1,0,2,1.51869,0.36925,-0.001150551464057849
Swing,1,0,1,1.78256,0.83909,4.800490696603606e-05
Swing,2,0,2,2.34381,-0.29284,-0.007204169221336603
Swing,0,0,2,2.12042,0.25141,-0.001150551464057849
Swing,0,0,0,3.76248,-0.64486,0.002250321102215661
Swing,1,0,2,3.43209,0.30978,-0.001150551464057849
Swing,1,0,0,2.02011,0.75352,0.002250321102215661
Swing,2,0,0,1.10268,-0.00488,0.0
Swing,2,0,8,3.78022,-0.34999,-0.007388489543800994
Swing,0,0,8,1.84857,1.03534,0.02337007159670459
Swing,0,2,6,2.38348,0.61722,0.00954100319505416
Swing,0,2,4,3.39418,-0.41361,0.014475949948341185
Swing,0,2,1,2.47498,0.03849,-0.04480846774193549
Swing,1,2,5,1.32542,0.49034,0.044651350837138504
Swing,1,2,7,3.17001,-0.1107,0.02713610991841993
Swing,2,2,5,1.92981,-0.56735,-0.0390625
Swing,0,0,5,3.28448,-1.07405,-0.0010997696381578118
Swing,0,0,1,3.71805,-0.36719,4.800490696603606e-05
Swing,1,0,9,2.49412,0.57838,-0.003273485163660432
Swing,2,0,2,1.78664,0.71357,-0.007204169221336603
Swing,0,0,6,2.21855,0.51666,-0.0027686129911500563
Swing,0,0,4,2.34185,-0.18967,-0.0006141007563030907
Swing,0,0,3,1.60218,-0.12107,-0.004799676767780519
Swing,1,0,5,1.67963,-0.41159,-0.0010997696381578118
Swing,1,0,2,2.8952,0.41146,-0.001150551464057849
Swing,1,0,3,3.46889,-0.02008,-0.004799676767780519
Swing,2,0,5,2.57073,-0.0476,-0.0010997696381578118
Swing,2,0,3,2.77487,0.47591,0.009129425593108057
Swing,2,1,5,2.11729,-0.10337,0.01271417392341024
Swing,2,1,2,2.50281,-0.03458,-0.003650642863614391
Swing,2,1,0,1.21826,0.63846,-0.03129657228017884
Swing,0,0,9,2.31762,-1.05548,0.0030843553837095316
Swing,0,1,5,2.12144,0.08525,0.01271417392341024
Swing,0,1,2,2.41848,-0.39065,-0.003650642863614391
Swing,0,1,1,2.77136,0.73579,0.0
Swing,1,1,5,1.53071,-0.83999,0.03986464904845457
Swing,1,3,2,2.77565,0.12391,-0.003119622177654144
Swing,1,3,0,3.01905,0.33927,-0.016363848192700897
Swing,2,3,2,3.51585,0.76646,-0.003119622177654144
Swing,2,3,3,2.08243,0.97296,0.0
Swing,2,3,8,2.3602,0.25606,-0.1431578947368421
Swing,0,0,4,1.44138,0.00374,-0.0005660958493370546
Swing,1,1,5,2.35843,0.12976,0.01271417392341024
Swing,1,1,2,1.08473,-1.09807,-0.003650642863614391
Swing,1,1,0,2.51787,-0.56162,-0.009063531059795848
Swing,2,1,5,1.6417,0.68101,0.01271417392341024
Swing,2,1,2,3.43533,0.62455,-0.003650642863614391
